stage_id,workflow_component,operating_area,trigger_schedule,model,num_calls,avg_measured_input_tokens,avg_measured_output_tokens,avg_measured_cost_per_run,avg_adjusted_measured_cost_per_run,notebook_measured_avg_cost_per_run,planned_input_tokens_per_run,planned_output_tokens_per_run,planned_cost_per_run,variance_pct,estimate_vs_measured_variance,review_flag,source_measurement_link,source_output_file
TM_001,Account review,"Signal monitoring, context assembly & portfolio pattern detection",Daily per-account context indexing,text-embedding-3-small,18,220.0,154.0,4e-06,5e-06,5e-06,3000,0,6.2e-05,-92.95,-92.7%,Measured cost materially below original estimate,outputs/stage_token_counts.csv,outputs/stage_token_counts.csv
TM_002,Account review,"Intake, classification & triage",Daily per-account risk/opportunity label,Claude Haiku 4.5,18,661.4,202.3,0.001673,0.00202,0.00202,3500,300,0.006038,-72.29,-66.5%,Measured cost materially below original estimate,outputs/stage_token_counts.csv,outputs/stage_token_counts.csv
TM_003,Account review,Prioritization & queue ranking,Daily per-account priority score,GPT-5.4,18,428.0,78.1,0.002242,0.00297,0.00297,3000,250,0.014906,-84.96,-80.1%,Measured cost materially below original estimate,outputs/stage_token_counts.csv,outputs/stage_token_counts.csv
TM_004,Account review,Synthesis & recommendation,Daily second-pass high-risk/opportunity validation,GPT-5.4,17,669.9,203.8,0.004731,0.007154,0.007154,6000,900,0.043092,-89.02,-83.4%,Measured cost materially below original estimate,outputs/stage_token_counts.csv,outputs/stage_token_counts.csv
TM_005,Account review,Synthesis & recommendation,Daily flagged-account summaries,Claude Sonnet 4.6,18,658.8,202.3,0.005012,0.008284,0.008284,12000,1800,0.104139,-95.19,-92.0%,Measured cost materially below original estimate,outputs/stage_token_counts.csv,outputs/stage_token_counts.csv
TM_006,Account review,"Routing, handoff & escalation",Daily CSM alert routing,Claude Haiku 4.5,6,495.2,69.5,0.000843,0.001092,0.001092,4000,400,0.007776,-89.16,-86.0%,Measured cost materially below original estimate,outputs/stage_token_counts.csv,outputs/stage_token_counts.csv
TM_007,Account review,Deployment tracking & outcome measurement,Daily unresolved-item check,Claude Haiku 4.5,13,397.2,57.1,0.000683,0.000803,0.000803,3000,250,0.004998,-86.34,-83.9%,Measured cost materially below original estimate,outputs/stage_token_counts.csv,outputs/stage_token_counts.csv
TM_008,Prioritization,"Signal monitoring, context assembly & portfolio pattern detection",Daily priority context pull,text-embedding-3-small,13,219.0,154.0,4e-06,5e-06,5e-06,3500,0,7.3e-05,-93.99,-93.7%,Measured cost materially below original estimate,outputs/stage_token_counts.csv,outputs/stage_token_counts.csv
TM_009,Prioritization,Prioritization & queue ranking,Daily cross-work queue ranking,Claude Haiku 4.5,13,438.8,87.6,0.000877,0.001115,0.001115,4000,300,0.006996,-87.47,-84.1%,Measured cost materially below original estimate,outputs/stage_token_counts.csv,outputs/stage_token_counts.csv
TM_010,Prioritization,Synthesis & recommendation,Daily priority rationale generation,GPT-5.4,18,429.0,78.9,0.002257,0.003227,0.003227,7000,900,0.04433,-94.91,-92.7%,Measured cost materially below original estimate,outputs/stage_token_counts.csv,outputs/stage_token_counts.csv
TM_011,Prioritization,"Routing, handoff & escalation",Daily owner assignment,Claude Haiku 4.5,6,494.7,69.5,0.000842,0.001053,0.001053,3500,350,0.006567,-87.18,-84.0%,Measured cost materially below original estimate,outputs/stage_token_counts.csv,outputs/stage_token_counts.csv
TM_012,Inbound issue handling,"Intake, classification & triage",On new support issue,Claude Haiku 4.5,12,588.2,155.8,0.001367,0.001772,0.001772,4500,450,0.008748,-84.37,-79.7%,Measured cost materially below original estimate,outputs/stage_token_counts.csv,outputs/stage_token_counts.csv
TM_013,Inbound issue handling,"Signal monitoring, context assembly & portfolio pattern detection",On issue context lookup,text-embedding-3-small,12,163.0,91.0,3e-06,4e-06,4e-06,5000,0,0.000108,-96.99,-96.7%,Measured cost materially below original estimate,outputs/stage_token_counts.csv,outputs/stage_token_counts.csv
TM_014,Inbound issue handling,Synthesis & recommendation,On issue summary/recommendation,Claude Sonnet 4.6,12,589.9,155.8,0.004106,0.006611,0.006611,10000,1800,0.09177,-95.53,-92.8%,Measured cost materially below original estimate,outputs/stage_token_counts.csv,outputs/stage_token_counts.csv
