run_id,stage_id,item_id,item_type,account_id,route,owner,urgency,confidence,notes
TM_006-A002-00090,TM_006,A002,account,A002,specialist_escalation,Support specialist,immediate,0.95,"escalation_score=50.0, risk_score=135.0. escalation_score=50.0 crosses alert threshold (40)"
TM_006-A004-00091,TM_006,A004,account,A004,csm_review,Riley Patel,high,0.55,"escalation_score=0.0, risk_score=143.0. health score declined by 19 points"
TM_006-A005-00092,TM_006,A005,account,A005,manager_escalation,CSM manager,immediate,0.95,"escalation_score=60.0, risk_score=131.25. renewal within 45 days and negative sentiment; escalation_score=60.0 crosses alert threshold (40)"
TM_006-A008-00093,TM_006,A008,account,A008,manager_escalation,CSM manager,immediate,0.95,"escalation_score=70.0, risk_score=222.5. health score declined by 18 points; renewal within 45 days and negative sentiment; escalation_score=70.0 crosses alert threshold (40)"
TM_006-A014-00094,TM_006,A014,account,A014,csm_review,Morgan Lee,high,0.8,"escalation_score=25.0, risk_score=182.5. health score declined by 19 points; renewal within 45 days and negative sentiment"
TM_006-A017-00095,TM_006,A017,account,A017,specialist_escalation,Support specialist,immediate,0.95,"escalation_score=50.0, risk_score=170.0. health score declined by 18 points; escalation_score=50.0 crosses alert threshold (40)"
TM_011-A002-00153,TM_011,A002,account,A002,specialist_escalation,Support specialist,immediate,0.95,"escalation_score=50.0, risk_score=135.0. escalation_score=50.0 crosses alert threshold (40)"
TM_011-A004-00154,TM_011,A004,account,A004,csm_review,Riley Patel,high,0.55,"escalation_score=0.0, risk_score=143.0. health score declined by 19 points"
TM_011-A005-00155,TM_011,A005,account,A005,manager_escalation,CSM manager,immediate,0.95,"escalation_score=60.0, risk_score=131.25. renewal within 45 days and negative sentiment; escalation_score=60.0 crosses alert threshold (40)"
TM_011-A008-00156,TM_011,A008,account,A008,manager_escalation,CSM manager,immediate,0.95,"escalation_score=70.0, risk_score=222.5. health score declined by 18 points; renewal within 45 days and negative sentiment; escalation_score=70.0 crosses alert threshold (40)"
TM_011-A014-00157,TM_011,A014,account,A014,csm_review,Morgan Lee,high,0.8,"escalation_score=25.0, risk_score=182.5. health score declined by 19 points; renewal within 45 days and negative sentiment"
TM_011-A017-00158,TM_011,A017,account,A017,specialist_escalation,Support specialist,immediate,0.95,"escalation_score=50.0, risk_score=170.0. health score declined by 18 points; escalation_score=50.0 crosses alert threshold (40)"
TM_015-T001-00195,TM_015,T001,ticket,A008,manager_escalation,CSM manager,immediate,0.95,"escalation_score=70.0, risk_score=222.5, severity=high, customer_sentiment=frustrated. high severity inbound ticket, sentiment=frustrated"
TM_015-T002-00196,TM_015,T002,ticket,A002,specialist_escalation,Support specialist,immediate,0.95,"escalation_score=50.0, risk_score=135.0, severity=high, customer_sentiment=concerned. high severity inbound ticket, sentiment=concerned"
TM_015-T003-00197,TM_015,T003,ticket,A014,csm_review,Morgan Lee,high,0.8,"escalation_score=25.0, risk_score=182.5, severity=medium, customer_sentiment=negative. medium severity inbound ticket, sentiment=negative"
TM_015-T004-00198,TM_015,T004,ticket,A010,csm_review,Taylor Chen,high,0.55,"escalation_score=0.0, risk_score=111.0, severity=medium, customer_sentiment=neutral. medium severity inbound ticket, sentiment=neutral"
TM_015-T005-00199,TM_015,T005,ticket,A012,csm_review,Riley Patel,high,0.65,"escalation_score=10.0, risk_score=106.0, severity=low, customer_sentiment=neutral. low severity inbound ticket, sentiment=neutral"
TM_015-T006-00200,TM_015,T006,ticket,A017,specialist_escalation,Support specialist,immediate,0.95,"escalation_score=50.0, risk_score=170.0, severity=high, customer_sentiment=negative. high severity inbound ticket, sentiment=negative"
TM_015-T007-00201,TM_015,T007,ticket,A005,manager_escalation,CSM manager,immediate,0.95,"escalation_score=60.0, risk_score=131.25, severity=high, customer_sentiment=concerned. high severity inbound ticket, sentiment=concerned"
TM_015-T008-00202,TM_015,T008,ticket,A004,csm_review,Riley Patel,high,0.55,"escalation_score=0.0, risk_score=143.0, severity=medium, customer_sentiment=neutral. medium severity inbound ticket, sentiment=neutral"
TM_015-T009-00203,TM_015,T009,ticket,A015,csm_review,Riley Patel,high,0.65,"escalation_score=10.0, risk_score=47.0, severity=medium, customer_sentiment=neutral. medium severity inbound ticket, sentiment=neutral"
TM_015-T010-00204,TM_015,T010,ticket,A001,csm_review,Taylor Chen,high,0.8,"escalation_score=25.0, risk_score=102.0, severity=medium, customer_sentiment=frustrated. medium severity inbound ticket, sentiment=frustrated"
TM_015-T011-00205,TM_015,T011,ticket,A006,csm_review,Riley Patel,high,0.55,"escalation_score=0.0, risk_score=32.0, severity=low, customer_sentiment=positive. low severity inbound ticket, sentiment=positive"
TM_015-T012-00206,TM_015,T012,ticket,A003,schedule_follow_up,Morgan Lee,medium,0.55,"escalation_score=0.0, risk_score=24.0, severity=low, customer_sentiment=positive. low severity inbound ticket, sentiment=positive"
TM_025-O001-00290,TM_025,O001,output,A008,manager_escalation,CSM manager,immediate,0.95,"escalation_score=70.0, risk_score=222.5. draft is short and/or uses vague filler phrasing (preliminary check)"
TM_025-O002-00291,TM_025,O002,output,A005,manager_escalation,CSM manager,immediate,0.95,"escalation_score=60.0, risk_score=131.25. draft is short and/or uses vague filler phrasing (preliminary check)"
TM_025-O004-00292,TM_025,O004,output,A017,specialist_escalation,Support specialist,immediate,0.95,"escalation_score=50.0, risk_score=170.0. draft is short and/or uses vague filler phrasing (preliminary check)"
TM_025-O007-00293,TM_025,O007,output,A012,csm_review,Primary CSM,high,0.65,"escalation_score=10.0, risk_score=106.0. draft is short and/or uses vague filler phrasing (preliminary check)"
TM_034-A002-00358,TM_034,A002,account,A002,specialist_escalation,Support specialist,immediate,0.95,"escalation_score=50.0, risk_score=135.0. escalation_score=50.0 crosses alert threshold (40)"
TM_034-A004-00359,TM_034,A004,account,A004,csm_review,Riley Patel,high,0.55,"escalation_score=0.0, risk_score=143.0. health score declined by 19 points"
TM_034-A005-00360,TM_034,A005,account,A005,manager_escalation,CSM manager,immediate,0.95,"escalation_score=60.0, risk_score=131.25. renewal within 45 days and negative sentiment; escalation_score=60.0 crosses alert threshold (40)"
TM_034-A008-00361,TM_034,A008,account,A008,manager_escalation,CSM manager,immediate,0.95,"escalation_score=70.0, risk_score=222.5. health score declined by 18 points; renewal within 45 days and negative sentiment; escalation_score=70.0 crosses alert threshold (40)"
TM_034-A014-00362,TM_034,A014,account,A014,csm_review,Morgan Lee,high,0.8,"escalation_score=25.0, risk_score=182.5. health score declined by 19 points; renewal within 45 days and negative sentiment"
TM_034-A017-00363,TM_034,A017,account,A017,specialist_escalation,Support specialist,immediate,0.95,"escalation_score=50.0, risk_score=170.0. health score declined by 18 points; escalation_score=50.0 crosses alert threshold (40)"
TM_037-A008-00376,TM_037,A008,account,A008,manager_escalation,CSM manager,immediate,0.95,Manager-led account review: align on renewal terms and assign an executive sponsor touchpoint before the next customer contact.
TM_037-A005-00377,TM_037,A005,account,A005,manager_escalation,CSM manager,immediate,0.95,Manager-led account review: align on renewal terms and assign an executive sponsor touchpoint before the next customer contact.
TM_037-A002-00378,TM_037,A002,account,A002,specialist_escalation,Support specialist,immediate,0.93,Assign to a senior support specialist to resolve the underlying technical blocker within 48 hours.
