stage_id,workflow_component,operating_area,trigger_schedule,runs_per_cadence,cadence,annualization_factor,planned_input_tokens_per_run,planned_output_tokens_per_run,model,input_price_per_1m,output_price_per_1m,retry_rate_percent,qa_eval_multiplier,base_cost_per_run,adjusted_cost_per_run,cost_per_cadence,estimated_annual_cost,notebook_measured_avg_cost_per_run,estimate_vs_measured_variance,candidate_notes_assumptions,source_measurement_link,review_flag
TM_001,Account review,"Signal monitoring, context assembly & portfolio pattern detection",Daily per-account context indexing,750,Business day,260,3000,0,text-embedding-3-small,0.020,0.000,2,1.02,0.0001,0.0001,0.0468,12.17,,,One logical run per account/day; deterministic joins and retrieval narrow context before model use.,,
TM_002,Account review,"Intake, classification & triage",Daily per-account risk/opportunity label,750,Business day,260,3500,300,Claude Haiku 4.5,1.000,5.000,5,1.15,0.0050,0.0060,4.5281,1177.31,,,"Cheap daily label for every account; flags risk, opportunity, stability, or no-action state.",,
TM_003,Account review,Prioritization & queue ranking,Daily per-account priority score,750,Business day,260,3000,250,GPT-5.4,2.500,15.000,6,1.25,0.0113,0.0149,11.1797,2906.72,,,Uses stronger model because account priority directly affects CSM focus and retention risk.,,
TM_004,Account review,Synthesis & recommendation,Daily second-pass high-risk/opportunity validation,260,Business day,260,6000,900,GPT-5.4,2.500,15.000,12,1.35,0.0285,0.0431,11.2039,2913.02,,,Second-pass review for top accounts after cheap screening; avoids over-escalating weak signals.,,
TM_005,Account review,Synthesis & recommendation,Daily flagged-account summaries,40,Business day,260,12000,1800,Claude Sonnet 4.6,3.000,15.000,14,1.45,0.0630,0.1041,4.1656,1083.05,,,Only highest-priority flagged accounts receive full CSM-ready narrative summaries.,,
TM_006,Account review,"Routing, handoff & escalation",Daily CSM alert routing,20,Business day,260,4000,400,Claude Haiku 4.5,1.000,5.000,8,1.20,0.0060,0.0078,0.1555,40.44,,,"Routes only threshold-crossing account alerts, not all reviewed accounts.",,
TM_007,Account review,Deployment tracking & outcome measurement,Daily unresolved-item check,100,Business day,260,3000,250,Claude Haiku 4.5,1.000,5.000,5,1.12,0.0043,0.0050,0.4998,129.95,,,"Tracks stale follow-ups, unresolved risks, and prior actions re-entering daily review.",,
TM_008,Prioritization,"Signal monitoring, context assembly & portfolio pattern detection",Daily priority context pull,150,Business day,260,3500,0,text-embedding-3-small,0.020,0.000,2,1.02,0.0001,0.0001,0.0109,2.84,,,"Pulls compact context for accounts, tickets, check-ins, and unresolved work before ranking.",,
TM_009,Prioritization,Prioritization & queue ranking,Daily cross-work queue ranking,150,Business day,260,4000,300,Claude Haiku 4.5,1.000,5.000,6,1.20,0.0055,0.0070,1.0494,272.84,,,"Creates unified attention queue across account risk, issues, check-ins, and interventions.",,
TM_010,Prioritization,Synthesis & recommendation,Daily priority rationale generation,30,Business day,260,7000,900,GPT-5.4,2.500,15.000,10,1.30,0.0310,0.0443,1.3299,345.77,,,Generates short explanations for top-priority items so owners understand ranking logic.,,
TM_011,Prioritization,"Routing, handoff & escalation",Daily owner assignment,30,Business day,260,3500,350,Claude Haiku 4.5,1.000,5.000,6,1.18,0.0053,0.0066,0.1970,51.22,,,"Assigns priority items to CSM, support, manager, or follow-up path after ranking.",,
TM_012,Inbound issue handling,"Intake, classification & triage",On new support issue,30,Weekly,52,4500,450,Claude Haiku 4.5,1.000,5.000,8,1.20,0.0068,0.0087,0.2624,13.65,,,"Uses 30 weekly issue volume from rubric; classifies severity, sentiment, and issue type.",,
TM_013,Inbound issue handling,"Signal monitoring, context assembly & portfolio pattern detection",On issue context lookup,30,Weekly,52,5000,0,text-embedding-3-small,0.020,0.000,3,1.05,0.0001,0.0001,0.0032,0.17,,,"Retrieves account, usage, support, and call-note context for each inbound issue.",,
TM_014,Inbound issue handling,Synthesis & recommendation,On issue summary/recommendation,30,Weekly,52,10000,1800,Claude Sonnet 4.6,3.000,15.000,15,1.40,0.0570,0.0918,2.7531,143.16,,,Produces issue summary and recommended response path; uses stronger model for judgement.,,
TM_015,Inbound issue handling,"Routing, handoff & escalation",On issue routing decision,30,Weekly,52,5000,500,Claude Haiku 4.5,1.000,5.000,10,1.25,0.0075,0.0103,0.3094,16.09,,,"Each inbound issue is routed to resolution, follow-up, or escalation.",,
TM_016,Inbound issue handling,Intervention design,Weekly issue-pattern review,5,Weekly,52,14000,2200,GPT-5.4,2.500,15.000,15,1.45,0.0680,0.1134,0.5670,29.48,,,Reviews issue clusters that may indicate broader account deterioration.,,
TM_017,Customer check-in support,"Signal monitoring, context assembly & portfolio pattern detection",Before scheduled check-in,12,Weekly,52,7000,0,text-embedding-3-small,0.020,0.000,3,1.05,0.0001,0.0002,0.0018,0.09,,,"One context pack per scheduled check-in using account, ticket, usage, and prior-note history.",,
TM_018,Customer check-in support,Customer check-in & communication support,Before scheduled check-in,12,Weekly,52,18000,3000,Claude Sonnet 4.6,3.000,15.000,15,1.45,0.0990,0.1651,1.9810,103.01,,,"Generates agenda, talking points, guidance, and follow-up framing for customer conversations.",,
TM_019,Customer check-in support,Synthesis & recommendation,Before scheduled check-in,12,Weekly,52,14000,1800,GPT-5.4,2.500,15.000,12,1.35,0.0620,0.0937,1.1249,58.50,,,Produces risk/opportunity recommendations for the account owner before the check-in.,,
TM_020,Customer check-in support,Prioritization & queue ranking,Weekly check-in prioritization,12,Weekly,52,5000,350,Claude Haiku 4.5,1.000,5.000,6,1.18,0.0068,0.0084,0.1013,5.27,,,Ranks check-ins needing senior attention or additional preparation.,,
